Race,"Atlantic County, New Jersey!!Estimate","Bergen County, New Jersey!!Estimate","Burlington County, New Jersey!!Estimate","Camden County, New Jersey!!Estimate","Cape May County, New Jersey!!Estimate","Essex County, New Jersey!!Estimate","Gloucester County, New Jersey!!Estimate","Hudson County, New Jersey!!Estimate","Hunterdon County, New Jersey!!Estimate","Mercer County, New Jersey!!Estimate","Middlesex County, New Jersey!!Estimate","Monmouth County, New Jersey!!Estimate","Morris County, New Jersey!!Estimate","Ocean County, New Jersey!!Estimate","Passaic County, New Jersey!!Estimate","Somerset County, New Jersey!!Estimate","Union County, New Jersey!!Estimate","Warren County, New Jersey!!Estimate"
Total population,"275,638","952,997","466,103","524,907","95,634","849,477","306,601","703,366","129,777","380,688","861,418","644,098","511,151","655,735","513,936","346,875","569,815","110,926"
Black or African American,"36,849","54,685","75,933","96,570","3,329","301,756","30,080","86,352","3,959","69,866","95,130","36,659","17,251","20,590","51,510","31,037","114,476","5,773"
American Indian and Alaska Native,"1,519","2,500",294,"2,043",94,"2,994",682,"7,556",95,"1,481","8,951","4,255","1,030","2,298","1,498","2,758","1,303",241
Asian,"22,105","157,076","28,187","31,027","1,186","50,549","9,308","114,588","6,007","49,059","222,350","35,455","57,351","10,204","29,615","68,347","32,432","3,314"
Asian Indian,"5,904","28,506","15,246","8,216",168,"21,174","1,705","53,752","4,252","27,238","145,194","13,244","33,955","1,447","11,259","37,611","10,026",610
Chinese,"3,842","21,377","2,832","7,464",6,"12,662","1,414","21,627",571,"10,277","26,610","10,377","10,529","1,093","2,402","17,022","9,591","1,186"
Filipino,"3,668","20,925","3,392","5,081",353,"7,958","3,416","21,967",486,"2,207","15,557","3,494","4,071","5,289","6,360","5,321","6,449",946
Japanese,28,"7,949",659,77,27,719,136,"1,061",0,930,452,536,373,397,305,481,171,0
Korean,144,"61,744","2,339","1,781",0,"2,633",285,"5,674",182,"2,817","5,780","1,924","3,520","1,012","2,047","2,513","1,023",63
Vietnamese,"4,362","2,014",732,"3,579",0,552,538,"1,554",38,854,"2,754","1,330","1,315",291,249,438,"1,119",64
Other Asian,"4,157","14,561","2,987","4,829",632,"4,851","1,814","8,953",478,"4,736","26,003","4,550","3,588",675,"6,993","4,961","4,053",445
Native Hawaiian and Other Pacific Islander,0,287,221,569,0,0,0,128,0,201,336,0,0,117,0,0,129,0
Some Other Race,"31,059","89,503","18,254","56,089","3,558","128,766","11,529","132,327","3,856","35,561","106,211","31,418","28,139","28,887","91,246","23,540","120,789","2,900"
White,"154,234","518,539","300,169","287,986","80,167","258,448","230,638","219,327","106,134","181,200","352,035","482,458","348,590","545,239","211,716","182,899","223,784","85,072"
