Label (Grouping),"Atlantic County, New Jersey!!Estimate","Bergen County, New Jersey!!Estimate","Burlington County, New Jersey!!Estimate","Camden County, New Jersey!!Estimate","Cape May County, New Jersey!!Estimate","Cumberland County, New Jersey!!Estimate","Essex County, New Jersey!!Estimate","Gloucester County, New Jersey!!Estimate","Hudson County, New Jersey!!Estimate","Hunterdon County, New Jersey!!Estimate","Mercer County, New Jersey!!Estimate","Middlesex County, New Jersey!!Estimate","Monmouth County, New Jersey!!Estimate","Morris County, New Jersey!!Estimate","Ocean County, New Jersey!!Estimate","Passaic County, New Jersey!!Estimate","Salem County, New Jersey!!Estimate","Somerset County, New Jersey!!Estimate","Sussex County, New Jersey!!Estimate","Union County, New Jersey!!Estimate","Warren County, New Jersey!!Estimate"
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,
Total population,"275,638","952,997","466,103","524,907","95,634","151,356","849,477","306,601","703,366","129,777","380,688","861,418","644,098","511,151","655,735","513,936","65,117","346,875","146,084","569,815","110,926"
Male,"136,915","467,647","230,343","254,314","46,465","76,993","413,603","150,910","351,645","63,998","187,066","429,006","315,619","254,000","319,610","252,045","32,747","171,390","73,264","281,970","55,154"
Female,"138,723","485,350","235,760","270,593","49,169","74,363","435,874","155,691","351,721","65,779","193,622","432,412","328,479","257,151","336,125","261,891","32,370","175,485","72,820","287,845","55,772"
Sex ratio (males per 100 females),98.7,96.4,97.7,94,94.5,103.5,94.9,96.9,100,97.3,96.6,99.2,96.1,98.8,95.1,96.2,101.2,97.7,100.6,98,98.9
Under 5 years,"13,573","47,576","23,515","31,024","3,344","9,056","51,981","15,177","43,899","5,985","20,819","45,732","31,583","25,585","47,641","32,049","3,221","16,647","6,275","34,256","4,395"
5 to 9 years,"12,931","52,475","27,403","29,925","4,553","9,932","54,287","19,690","35,258","6,464","23,001","49,196","34,371","24,445","45,897","32,343","3,850","19,182","7,591","35,470","5,344"
10 to 14 years,"20,025","59,364","26,340","36,249","5,061","10,473","57,930","17,335","38,799","7,094","23,261","54,340","39,451","33,605","42,076","35,020","3,697","21,607","8,534","38,722","7,010"
15 to 19 years,"17,747","58,901","27,113","32,805","3,697","10,654","55,282","21,389","34,696","7,246","25,938","61,422","40,472","32,203","37,903","34,129","3,982","21,047","7,543","36,580","6,212"
20 to 24 years,"18,064","57,118","28,198","31,195","4,239","8,056","55,527","21,592","40,997","7,573","26,697","54,806","39,282","30,799","35,636","34,453","3,383","21,824","8,906","35,044","6,192"
25 to 34 years,"31,307","108,332","58,713","72,289","9,863","20,091","114,063","36,413","145,295","12,211","47,288","110,482","70,874","57,189","75,286","69,071","7,999","37,594","16,541","70,101","12,819"
35 to 44 years,"32,244","128,419","61,166","70,977","10,088","22,219","120,636","41,253","115,148","15,266","49,236","119,520","76,679","66,629","67,328","65,352","9,076","48,120","19,452","80,539","14,373"
45 to 54 years,"34,168","131,678","60,110","65,144","10,551","17,432","114,032","39,138","83,311","18,258","51,179","114,487","85,861","70,332","66,810","64,003","8,019","49,449","19,204","77,597","14,693"
55 to 59 years,"17,863","66,279","33,642","30,682","6,862","8,764","54,487","19,552","41,348","11,221","25,293","57,210","46,698","39,301","39,612","33,925","4,015","24,919","12,087","42,318","8,931"
60 to 64 years,"22,888","68,094","33,956","37,317","8,808","10,284","48,696","22,614","34,784","11,337","24,852","53,859","53,938","36,842","47,692","31,780","5,315","26,467","12,015","31,886","9,067"
65 to 74 years,"32,204","97,323","48,544","51,684","16,338","13,594","71,104","31,571","52,233","15,807","36,747","82,042","73,274","51,259","81,233","47,136","7,512","34,476","16,994","50,385","13,137"
75 to 84 years,"17,267","58,087","27,088","25,675","9,447","7,032","38,416","16,267","28,074","8,253","18,700","40,458","36,817","31,637","50,310","25,271","3,246","18,378","7,578","26,027","7,162"
85 years and over,"5,357","19,351","10,315","9,941","2,783","3,769","13,036","4,610","9,524","3,062","7,677","17,864","14,798","11,325","18,311","9,404","1,802","7,165","3,364","10,890","1,591"
Median age (years),42.7,42.2,41.5,38.8,51.6,38.2,38,40.6,35.9,46.3,40.1,39.5,43.6,42.4,41.4,38,41.1,42.5,44,39.4,44
Under 18 years,"56,929","196,712","94,775","118,165","15,901","35,848","197,900","64,357","138,951","24,278","81,480","182,565","131,491","103,853","161,578","120,001","13,024","71,922","27,913","131,748","20,786"
16 years and over,"225,444","781,023","382,980","420,316","81,827","119,150","673,175","250,439","577,848","108,767","308,861","701,355","529,965","421,553","511,839","408,052","53,692","286,239","121,913","453,373","93,172"
18 years and over,"218,709","756,285","371,328","406,742","79,733","115,508","651,577","242,244","564,415","105,499","299,208","678,853","512,607","407,298","494,157","393,935","52,093","274,953","118,171","438,067","90,140"
21 years and over,"208,232","724,795","356,590","388,822","77,751","109,614","619,191","228,037","543,557","101,753","281,804","639,582","491,807","390,541","475,827","373,034","49,003","265,706","114,911","419,928","87,069"
